temporada,equipo,puesto,PJ,PG,PP,PF,PC,total_min,total_val,total_puntos,total_min_espana,total_puntos_espana,total_val_espana,total_jug,jug_esp,jug1,jug3,jug5,mas5,porcentaje_jug_esp,porcentaje_jug_1,porcentaje_jug_3,porcentaje_jug_5,porcentaje_jug_mas5,total_min_no_esp,porcentaje_min_esp,porcentaje_min_no_esp,total_puntos_no_esp,porcentaje_puntos_esp,porcentaje_puntos_no_esp,total_val_no_esp,porcentaje_val_esp,porcentaje_val__no_esp
98-99,Le\xf3n Caja Espa\xf1a,14,34,13,21,2478,2699,6794,2355,2478,3235,935,709,13,8,0,12,1,0,0.6,0.0,0.9,0.1,0.0,3559,0.5,0.5,1543,0.4,0.6,1646,0.3,0.7
98-99,C.B. Gran Canaria,15,34,13,21,2506,2585,6820,2454,2506,2403,799,668,13,6,0,12,1,0,0.5,0.0,0.9,0.1,0.0,4417,0.4,0.6,1707,0.3,0.7,1786,0.3,0.7
98-99,Lobos Caja Cantabria,16,34,13,21,2724,2891,6818,2660,2724,3209,925,836,17,10,3,13,0,1,0.6,0.2,0.8,0.0,0.1,3609,0.5,0.5,1799,0.3,0.7,1824,0.3,0.7
98-99,Covir\xe1n Cervezas Alhambra,17,34,8,26,2436,2730,6867,2285,2436,3511,1031,851,18,11,4,11,1,2,0.6,0.2,0.6,0.1,0.1,3356,0.5,0.5,1405,0.4,0.6,1434,0.4,0.6
98-99,Recreativos Orenes Murcia,18,34,4,30,2517,2852,6841,2232,2517,3384,1057,766,16,7,4,11,1,0,0.4,0.2,0.7,0.1,0.0,3457,0.5,0.5,1460,0.4,0.6,1466,0.3,0.7
07-08,Real Madrid,1,34,29,5,2862,2572,6794,3101,2862,2549,1125,1300,16,7,2,14,0,0,0.4,0.1,0.9,0.0,0.0,4245,0.4,0.6,1737,0.4,0.6,1801,0.4,0.6
07-08,DKV Joventut,2,34,25,9,2980,2650,6792,3253,2980,3404,1580,1896,15,7,2,13,0,0,0.5,0.1,0.9,0.0,0.0,3388,0.5,0.5,1400,0.5,0.5,1357,0.6,0.4
07-08,AXA F.C. Barcelona,3,34,24,10,2617,2524,6869,2724,2617,1917,732,833,16,6,1,15,0,0,0.4,0.1,0.9,0.0,0.0,4952,0.3,0.7,1885,0.3,0.7,1891,0.3,0.7
07-08,TAU Cer\xe1mica,4,34,22,12,2867,2604,6844,3026,2867,780,263,284,16,4,2,14,0,0,0.2,0.1,0.9,0.0,0.0,6064,0.1,0.9,2604,0.1,0.9,2742,0.1,0.9
07-08,Pamesa Valencia,5,34,22,12,2706,2520,6814,2778,2706,2080,761,785,19,7,4,14,1,0,0.4,0.2,0.7,0.1,0.0,4734,0.3,0.7,1945,0.3,0.7,1993,0.3,0.7
07-08,iurbentia Bilbao Basket,6,34,21,13,2597,2507,6816,2619,2597,1310,529,482,14,4,1,13,0,0,0.3,0.1,0.9,0.0,0.0,5506,0.2,0.8,2068,0.2,0.8,2137,0.2,0.8
07-08,Akasvayu Girona,7,34,21,13,2726,2685,6819,2957,2726,3343,1351,1861,18,8,7,10,1,0,0.4,0.4,0.6,0.1,0.0,3476,0.5,0.5,1375,0.5,0.5,1096,0.6,0.4
07-08,Unicaja,8,34,17,17,2721,2648,6867,2837,2721,2214,680,830,17,6,2,15,0,0,0.4,0.1,0.9,0.0,0.0,4653,0.3,0.7,2041,0.2,0.8,2007,0.3,0.7
07-08,Gran Canaria Grupo Dunas,9,34,16,18,2682,2689,6845,2658,2682,1661,571,652,14,4,3,10,1,0,0.3,0.2,0.7,0.1,0.0,5184,0.2,0.8,2111,0.2,0.8,2006,0.2,0.8
07-08,Cajasol,10,34,14,20,2701,2764,6845,2604,2701,1634,549,456,12,5,2,8,2,0,0.4,0.2,0.7,0.2,0.0,5211,0.2,0.8,2152,0.2,0.8,2148,0.2,0.8
